REGIONE,,30-dic,31-dic,1-gen,2-gen,3-gen,4-gen,5-gen,6-gen,7-gen,8-gen,9-gen,10-gen,11-gen,12-gen,13-gen,14-gen,15-gen,16-gen,17-gen,18-gen,19-gen,20-gen,21-gen,22-gen,23-gen,24-gen,25-gen,26-gen,27-gen,28-gen
Lombardia,Lombardia,18.37,18.65,19.51,20.59,21.54,23.2,24.28,25.27,26.33,26.16,28.97,30.09,32.13,33.28,34.63,34.8,35.15,35.78,36.61,37.16,36.9,37.31,35.15,34.72,34.07,34.27,34.22,34.16,32.75,31.74
Emilia Romagna,Emilia,30.01,30.28,30.57,32.64,34.37,35.52,36.49,39.23,41.57,42.13,43.39,45.96,48.72,49.2,50.79,52.01,52.5,53.85,55.25,54.91,54.26,55.45,55.31,55.49,57.18,59.05,58.35,57.97,58.71,58.73
Veneto,Veneto,23.43,24.17,23.37,23.08,24.11,24.96,25.41,24.05,27.22,28.07,29,29.61,30.99,28.58,29.06,31.24,31.92,31.22,31.84,32.33,32.27,31.88,31.24,30.85,30.29,29.68,32.15,32.64,32.6,31.67
Piemonte,Piemonte,27.52,28.62,29.06,30.28,31.69,33.02,34.17,35.41,37.28,38.96,40.34,43.18,44.72,45.26,45.17,45.17,45.35,47.18,48.25,48.18,48.28,48.11,48.04,48.79,49.61,50.08,49.49,49.59,49.4,49.38
Friuli VG,Friuli,23.52,23.94,22.94,24.86,25.69,25.53,25.78,25.53,26.94,27.95,28.78,29.53,29.45,29.28,30.78,30.78,30.7,31.12,33.28,36.37,36.04,35.79,35.54,35.62,37.54,38.71,39.46,40.79,39.62,40.38
Valle d'Aosta,Valle,23.41,27.44,25.83,29.06,36.32,37.94,36.32,33.9,33.9,33.9,36.32,37.13,42.78,41.16,42.78,50.85,54.08,54.89,55.69,61.34,61.34,62.96,61.34,60.54,61.34,65.38,61.34,59.73,58.11,56.5
Liguria,Liguria,33.05,31.92,32.72,33.78,35.24,36.3,37.22,39.94,42.65,43.91,43.38,46.16,45.44,45.5,44.77,45.77,45.5,46.16,47.95,48.09,47.82,48.02,49.01,48.75,49.61,48.68,50.54,49.21,47.49,47.56
PA Trento,Trento,18.36,19.28,19.09,20.93,20.74,18.36,17.99,17.62,19.46,19.09,19.09,20.19,22.4,23.86,23.5,22.95,23.31,23.31,25.15,27.72,27.54,26.62,26.43,25.15,25.52,26.62,26.99,26.99,27.72,25.33
PA Bolzano,Bolzano,15.18,15.18,13.49,14.24,15.74,15.74,14.61,14.05,14.05,14.24,14.61,14.8,14.43,13.68,13.87,15.18,16.49,17.05,17.8,18.92,20.61,19.49,20.05,19.11,19.86,20.24,22.11,19.86,18.92,20.24
Marche,Marche,14.45,14.65,14.85,15.12,15.45,15.65,16.25,16.18,16.18,16.72,16.98,16.45,16.85,17.85,17.72,18.05,17.52,18.38,18.58,19.18,19.58,19.45,19.85,19.52,19.18,19.71,19.65,19.91,20.05,20.25
Toscana,Toscana,16.36,17.34,17.8,18.95,20.58,22.41,23.74,24.62,26.12,27.1,28.24,29.55,30.2,31.43,31.98,32.41,33.42,33.83,35.52,35.93,35.82,36.26,36.53,36.88,36.34,36.88,37.1,37.32,37.05,36.53
Lazio,Lazio,19.7,20.31,20.17,20.5,20.96,22.41,22.74,23.97,24,24.47,25.28,26.53,27.67,28.48,28.32,29.28,30.31,30.56,31.27,32.32,33,33.47,34.02,34,35.29,35.78,36.1,36.74,36.64,37.3
Umbria,Umbria,14.1,14.1,15.38,17.46,18.73,20.46,21.39,20.92,21.04,22.2,22.77,23.7,22.89,24.05,24.74,23.58,25.9,25.2,24.97,23.81,23.58,23.35,22.66,21.85,22.2,22.08,22.43,21.96,21.27,22.2
Abruzzo,Abruzzo,13.07,13.85,13.93,14.32,15.09,16.81,17.58,19.3,20.93,21.94,22.64,24.43,26.3,26.3,27.15,27.23,29.18,30.03,30.97,31.12,31.98,32.52,30.81,31.28,32.06,32.6,32.44,31.74,32.29,32.06
Molise,Molise,6.74,6.74,6.41,7.08,7.08,7.08,7.42,7.08,7.76,8.09,9.44,9.44,7.42,7.42,6.07,6.74,7.42,7.76,8.43,7.76,7.08,6.07,6.07,6.07,6.07,6.41,10.79,11.47,13.15,13.83
Campania,Campania,11.46,11.88,12.08,12.64,13.2,13.75,14.31,15.28,16.36,16.92,18.15,19.1,19.21,19.82,20.32,20.97,21.94,22.5,23.08,22.71,23.21,23.43,23.57,23.73,24.37,24.49,24.54,24.3,24.42,24.42
Puglia,Puglia,6.14,7.03,7.08,7.21,7.61,8.51,9.27,9.78,10.39,10.95,10.9,11.31,12.1,12.48,12.61,13.5,14.24,15.1,15.66,16.68,16.93,17.6,18.13,17.8,17.67,18.26,18.18,17.44,17.77,18.62
Basilicata,Basilicata,10.96,11.69,11.87,12.97,12.97,12.78,12.97,12.78,13.51,12.42,12.6,13.15,13.88,13.33,14.43,15.34,15.89,16.98,16.07,15.71,16.44,16.62,16.44,16.44,15.89,16.07,15.34,16.8,17.53,17.9
Calabria,Calabria,16.24,16.62,16.4,16.62,17.2,17.84,18.8,18.96,19.86,19.33,20.13,20.34,21.83,20.98,21.25,22.1,22.26,23.01,23.33,23.75,23.38,23.17,23.43,22.9,23.38,23.17,22.9,21.89,22.05,20.98
Sicilia,Sicilia,15.33,15.47,15.86,16.75,18.01,18.45,18.86,19.5,20.72,21.69,23.2,23.96,25.26,26.36,26.85,27,27.5,27.85,28.76,28.69,28.63,28.98,29.27,29.19,29.46,30.18,30.24,30.16,29.95,30.08
Sardegna,Sardegna,9.01,9.14,8.88,9.95,10.89,9.26,10.89,10.82,11.26,11.76,11.95,11.95,13.51,13.45,14.45,14.2,14.02,14.77,14.89,14.7,16.33,16.58,16.83,17.21,17.96,18.21,20.65,20.46,20.71,22.96
